ISTAT,comune,casi,tasso
58114,ZAGAROLO,53,29.55
58115,LARIANO,54,40.15
58116,LADISPOLI,76,18.27
58117,ARDEA,93,18.73
58118,CIAMPINO,96,24.84
58119,SAN CESAREO,22,14.15
58120,FIUMICINO,170,21.35
58122,FONTE NUOVA,137,41.27
59001,APRILIA,244,32.89
59002,BASSIANO,5,32.68
59003,CAMPODIMELE,0,0
59004,CASTELFORTE,7,16.58
59005,CISTERNA DI LATINA,75,20.28
59006,CORI,30,27.54
59007,FONDI,132,33.18
59008,FORMIA,95,24.98
59009,GAETA,30,14.6
59010,ITRI,35,32.52
59011,LATINA,340,26.88
59012,LENOLA,9,21.51
59013,MAENZA,8,25.66
59014,MINTURNO,40,20.2
59015,MONTE SAN BIAGIO,2,3.17
59016,NORMA,6,14.83
59017,PONTINIA,23,15.42
59018,PONZA,0,0
59019,PRIVERNO,28,19.49
59020,PROSSEDI,2,16.63
59021,ROCCAGORGA,22,49.13
59022,ROCCA MASSIMA,2,17.62
59023,ROCCASECCA DEI VOLSCI,0,0
59024,SABAUDIA,54,26.3
59025,SAN FELICE CIRCEO,20,19.89
59026,SANTI COSMA E DAMIANO,26,37.29
59027,SERMONETA,17,16.87
59028,SEZZE,53,21.24
59029,SONNINO,2,2.65
59030,SPERLONGA,1,3.01
59031,SPIGNO SATURNIA,5,17.02
59032,TERRACINA,77,16.62
59033,VENTOTENE,0,0
60001,ACQUAFONDATA,0,0
60002,ACUTO,3,15.8
60003,ALATRI,70,24.34
60004,ALVITO,3,11.32
60005,AMASENO,4,9.27
60006,ANAGNI,23,10.75
60007,AQUINO,4,7.52
60008,ARCE,12,21.16
60009,ARNARA,4,17.45
60010,ARPINO,13,18.18
60011,ATINA,6,14.13
60012,AUSONIA,5,19.3
60013,BELMONTE CASTELLO,0,0
60014,BOVILLE ERNICA,19,22.29
60015,BROCCOSTELLA,4,14.77
60016,CAMPOLI APPENNINO,0,0
60017,CASALATTICO,0,0
60018,CASALVIERI,3,11.26
60019,CASSINO,87,23.84
60020,CASTELLIRI,6,17.59
60021,CASTELNUOVO PARANO,1,11.29
60022,CASTROCIELO,3,7.54
60023,CASTRO DEI VOLSCI,7,14.77
60024,CECCANO,40,17.11
60025,CEPRANO,19,21.53
60026,CERVARO,19,23.48
60027,COLFELICE,6,31.46
60028,COLLEPARDO,4,42.24
60029,COLLE SAN MAGNO,1,15.02
60030,CORENO AUSONIO,0,0
60031,ESPERIA,10,26.3
60032,FALVATERRA,0,0
60033,FERENTINO,39,18.58
60034,FILETTINO,0,0
60035,FIUGGI,38,36.15
60036,FONTANA LIRI,4,13.76
60037,FONTECHIARI,6,45.94
60038,FROSINONE,117,25.4
60039,FUMONE,2,9.61
60040,GALLINARO,2,16.23
60041,GIULIANO DI ROMA,12,49.65
60042,GUARCINO,4,25.32
60043,ISOLA DEL LIRI,25,21.77
60044,MONTE SAN GIOVANNI CAMPANO,15,11.81
60045,MOROLO,4,12.31
60046,PALIANO,5,6.13
60047,PASTENA,0,0
60048,PATRICA,8,25.31
60049,PESCOSOLIDO,1,6.59
60050,PICINISCO,1,8.53
60051,PICO,5,17.7
60052,PIEDIMONTE SAN GERMANO,4,6.18
60053,PIGLIO,6,13.04
60054,PIGNATARO INTERAMNA,1,3.93
60055,POFI,3,7.26
60056,PONTECORVO,24,18.29
60057,POSTA FIBRENO,0,0
60058,RIPI,17,32.39
60059,ROCCA D'ARCE,0,0
60060,ROCCASECCA,13,17.38
60061,SAN BIAGIO SARACINISCO,0,0
60062,SAN DONATO VAL DI COMINO,0,0
60063,SAN GIORGIO A LIRI,4,12.81
60064,SAN GIOVANNI INCARICO,4,12.15
60065,SANT'AMBROGIO SUL GARIGLIANO,1,10.37
60066,SANT'ANDREA DEL GARIGLIANO,1,6.88
60067,SANT'APOLLINARE,3,15.78
60068,SANT'ELIA FIUMERAPIDO,10,16.53
